label,mean_intensity,frame,Annotations
1,3.47731726,0,0
2,2.538447003,0,0
3,1.398263594,0,0
4,0.913758413,0,0
5,0.50512587,0,0
6,1.691447634,0,0
7,3.564707945,0,0
8,3.704641169,0,0
9,3.13054843,0,0
10,3.386751208,0,0
11,4.087892829,0,0
12,3.244730579,0,0
13,0.363179972,0,0
14,4.352951792,0,0
15,2.848093163,0,0
16,0.628211037,0,0
17,4.658574814,0,0
18,1.139184389,0,0
19,4.002993199,0,0
20,3.427445126,0,0
21,2.110157167,0,0
22,4.046158209,0,0
23,2.468688999,0,0
24,2.438447902,0,0
25,4.906327329,0,0
26,4.064041643,0,0
27,0.302247917,0,0
28,0.589537339,0,0
29,3.645542172,0,0
30,1.766683318,0,0
1,3.499637085,1,0
2,2.573963082,1,0
3,1.367604789,1,0
4,0.926350746,1,0
5,0.49900264,1,0
6,1.668809545,1,0
7,3.597976999,1,0
8,3.681083779,1,0
9,3.097792443,1,0
10,3.392763317,1,0
11,4.083214526,1,0
12,3.226574201,1,0
13,0.329826622,1,0
14,4.391428101,1,0
15,2.84994594,1,0
16,0.665666781,1,0
17,4.853443623,1,0
18,1.186903998,1,0
19,4.050101643,1,0
20,3.55019707,1,0
21,2.016268784,1,0
22,4.037378892,1,0
23,2.368035007,1,0
24,2.373748968,1,0
25,4.909356596,1,0
26,4.006137612,1,0
27,0.28248555,1,0
28,0.536204633,1,0
29,3.687880427,1,0
30,1.728654712,1,0
1,3.433654059,2,0
2,2.521603657,2,0
3,1.392071902,2,0
4,0.861745019,2,0
5,0.509832387,2,0
6,1.633864159,2,0
7,3.495199206,2,0
8,3.746171014,2,0
9,3.148062315,2,0
10,3.406143664,2,0
11,4.046356091,2,0
12,3.288239975,2,0
13,0.32524715,2,0
14,4.323627401,2,0
15,2.81709385,2,0
16,0.665736634,2,0
17,5.026449853,2,0
18,1.172773508,2,0
19,4.021451361,2,0
20,3.685789768,2,0
21,2.073406321,2,0
22,4.012434489,2,0
23,2.2554516,2,0
24,2.398924451,2,0
25,4.872964384,2,0
26,4.013166276,2,0
27,0.285496337,2,0
28,0.516911287,2,0
29,4.672986212,2,0
30,1.591232141,2,0
1,3.455423655,3,0
2,2.572464507,3,0
3,1.410686775,3,0
4,0.849642494,3,0
5,0.550593969,3,0
6,1.606557576,3,0
7,3.497032975,3,0
8,3.649842584,3,0
9,3.080595615,3,0
10,3.342860648,3,0
11,4.087122613,3,0
12,3.256879996,3,0
13,0.328705838,3,0
14,4.359280649,3,0
15,2.88072595,3,0
16,0.66408977,3,0
17,5.113508118,3,0
18,1.140712374,3,0
19,4.000235059,3,0
20,3.896332187,3,0
21,2.064627608,3,0
22,4.024850228,3,0
23,2.111570368,3,0
24,2.364503146,3,0
25,4.868065794,3,0
26,3.976108174,3,0
27,0.348969574,3,0
28,0.612070965,3,0
29,4.558572358,3,0
30,1.545355859,3,0
1,3.434541203,4,0
2,2.58762331,4,0
3,1.431662036,4,0
4,0.842434897,4,0
5,0.507952817,4,0
6,1.664026176,4,0
7,3.474564408,4,0
8,3.672583452,4,0
9,3.164857595,4,0
10,3.397419339,4,0
11,4.037431447,4,0
12,3.253851527,4,0
13,0.289627758,4,0
14,4.357185918,4,0
15,2.853628691,4,0
16,0.608221439,4,0
17,5.077047498,4,0
18,1.121805724,4,0
